Acanthus family,,,,Drosophila suzukii,Fruit flies,,European grapevine moth,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Achatocarpus family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Adder's-tongue family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Aloe family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Amaranth family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Araucaria family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Arrow-grass family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Arum family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Aster family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,Old world bollworm,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Azolla family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Balanophora family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Banana family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Barbados Cherry family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Barberry family,Asian Longhorned Beetle,,,,,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Basella family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bayberry family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Beech family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Begonia family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bellflower family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Birch family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bird of Paradise Flower family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Birthwort family,,,,,,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,,,,,,,,,,,
Bittersweet family,Asian Longhorned Beetle,,,Drosophila Suzukii,Fruit flies,,European grapevine moth,Gypsy Moth,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
Bladdernut family,,,,Drosophila Suzukii,Fruit flies,,,,Japanese Beetles,Light brown apple moth,,,,,,,,Chrysanthemum White Rust,,,,,European Larch Canker,,,,,,,,,,
